year,total_nr,african_american,asian_american,hispanic,non_resident
2002,19536,1212,2385,1079,3358
2003,19638,1238,2405,1084,3468
2004,19789,1246,2514,1111,3619
2005,19844,1294,2604,1059,3749
2006,20114,1276,2395,1021,3992
2007,20029,1293,2463,1052,4033
2008,20320,1275,2605,1055,4090
2009,21115,1292,2725,1120,4293
2010,21229,1198,2658,1239,4207
2011,21049,1136,2831,1351,4347
2012,21272,,,,4531
2013,21252,,,,4633
2014,21431,,,,4822
2015,21855,,,,4961
2016,22415,,,,5245
2017,22947,1248,3305,1809,5484
2018,23356,1346,3396,1882,5543
2019,23731,1443,3489,2054,5718
2020,22273,1558,3273,2034,5362
2021,25126,1692,3752,2302,6096
2022,25266,1702,3946,2346,6527
2023,24596,1668,3974,2282,6631
2024,24519,1557,4114,2221,6703
